Ticker Original,Variante Fonctionnelle,ADR Disponible,Company Name,Exchange,Currency,Market Cap
ATD.B,ATD.TO,ANCTF,"Alimentation Couche-Tard Inc.",TSX,CAD,70757128891
BBD.B,BBD,BOMBF; BDRXF; BDRPF; BDRBF; BDRAF,"Banco Bradesco S.A.",NYSE,USD,36417613956
BRK.B,BRK-B,,"Berkshire Hathaway Inc.",NYSE,USD,1076725791194
BFB,BF-B,,"Brown-Forman Corporation",NYSE,USD,12264144589
MOGA,MOG-A,,"Moog Inc.",NYSE,USD,8637631886
CCLB.TO,CCL,CCLLF; CCDBF,"Carnival Corporation & plc",NYSE,USD,42140571401
CTCA.TO,CTC,,"IFM Investments Ltd.",NYSE,USD,0
EMPA.TO,EMP,,"Entergy Mississippi, Inc. 1M BD 66",NYSE,USD,179826970
GIBA.TO,GIB,GIB,"CGI Inc.",NYSE,USD,20892955184
RCIB.TO,RCI,,"Rogers Communications Inc.",NYSE,USD,19648699266
CCA,CCA.TO,CGEAF,"Cogeco Communications Inc.",TSX,CAD,2861249202
GWO,GWO.TO,GWLIF; GRWTF,"Great-West Lifeco Inc.",TSX,CAD,61901589307
IFC,IFC.TO,INTAF; INFFF; IFZZF; IFTPF; IFCZF,"Intact Financial Corporation",TSX,CAD,49706485430
MRU,MRU.TO,MTRI; MTRAF,"Metro Inc.",TSX,CAD,21533218675